year,observer,region,site,species,Shrub ID,FID,lat,lng,x (m),y (m),z (m)
2018,mario,Panoche,plateau,ephedra,PS1S1,578,36.69874,-120.80064,3.04,1.8,1.24
2018,mario,Panoche,plateau,ephedra,PS1S2,579,36.69881,-120.80056,1.27,0.97,0.61
2018,mario,Panoche,plateau,ephedra,PS1S3,580,36.69885,-120.80058,1.73,1.42,0.51
2018,mario,Panoche,plateau,ephedra,PS2S1,650,36.69889,-120.80107,6.48,5.28,1.76
2018,mario,Panoche,plateau,ephedra,PS2S2,,36.69884,-120.80103,2.77,2.06,0.94
2018,mario,Panoche,plateau,ephedra,PS2S3,,36.69886,-120.8009,2.39,2.34,1.07
2018,mario,Panoche,plateau,ephedra,PS3S1,463,36.69757,-120.79912,2.87,2.57,0.76
2018,mario,Panoche,plateau,ephedra,PS3S2,,36.69757,-120.79916,2.59,1.42,0.81
2018,mario,Panoche,plateau,ephedra,PS3S3,460,36.69747,-120.7992,4.57,2.74,1.52
2018,mario,Panoche,plateau,ephedra,PS4S1,447,36.69724,-120.79869,2.31,2.16,1.19
2018,mario,Panoche,plateau,ephedra,PS4S2,446,36.6872,-120.79861,2.84,2.21,1.52
2018,mario,Panoche,plateau,ephedra,PS4S3,445,36.69715,-120.79861,4.04,3.33,0.99
2018,mario,Panoche,plateau,ephedra,PS5S1,172,36.69492,-120.7944,4.57,2.74,1.45
2018,mario,Panoche,plateau,ephedra,PS5S2,,36.695,-120.79432,4.85,4.39,1.63
2018,mario,Panoche,plateau,ephedra,PS5S3,,36.69503,-120.79438,2.46,2.36,1.3
2018,mario,Panoche,plateau,ephedra,PS5S4,,36.6951,-120.79438,4.17,2.74,127
2018,mario,Panoche,plateau,ephedra,PS6S1,205,36.69505,-120.7951,3.81,2.64,0.46
2018,mario,Panoche,plateau,ephedra,PS6S2,206,36.69505,-120.79517,3.81,2.99,1.22
2018,mario,Panoche,plateau,ephedra,PS6S3,207,36.69512,-120.79523,3.63,2.31,1.42
2018,mario,Panoche,plateau,ephedra,PS7S1,237,36.69544,-120.79582,3.81,2.62,0.76
2018,mario,Panoche,plateau,ephedra,PS7S2,234,36.6954,-120.79585,3.12,1.8,0.84
2018,mario,Panoche,plateau,ephedra,PS7S3,235,36.69547,-120.7959,2.67,2.41,1.14
2018,mario,Panoche,plateau,ephedra,PS7S4,236,36.69547,-120.79588,3.23,2.11,1.57
2018,mario,Panoche,plateau,ephedra,PS8S1,,36.6956,-120.79633,3.15,2.11,1.35
2018,mario,Panoche,plateau,ephedra,PS8S2,251,36.69552,-120.79639,3.4,2.95,1.55
2018,mario,Panoche,plateau,ephedra,PS8S3,,36.69564,-120.79625,4.49,3.18,1.68
2018,mario,Panoche,plateau,ephedra,PS9S1,329,36.69564,-120.79688,3.53,3.02,1.4
2018,mario,Panoche,plateau,ephedra,PS9S2,328,36.69566,-120.79684,3.35,2.92,0.66
2018,mario,Panoche,plateau,ephedra,PS9S3,330,36.69569,-120.79687,3.15,2.82,0.84
2018,mario,Panoche,plateau,ephedra,PS9S4,331,36.69574,-120.79691,3.73,3.42,1.52
2018,mario,Panoche,plateau,ephedra,PS9S5,332,36.69568,-120.79694,5.31,4.34,1.6
2018,mario,Panoche,plateau,ephedra,PS10S1,324,36.696,-120.7967,2.95,2.85,1.29
2018,mario,Panoche,plateau,ephedra,PS10S2,,36.69595,-120.79664,3.58,2.89,1.37
2018,mario,Panoche,plateau,ephedra,PS10S3,337,36.69598,-120.79675,5.46,5.18,2.01
2018,mario,Panoche,plateau,ephedra,PS10S4,335,36.69594,-120.79678,2.87,1.65,1.35
2018,mario,Panoche,plateau,ephedra,PS10S5,,36.69595,-120.7968,2.44,1.91,0.94
2018,mario,Panoche,plateau,ephedra,PS10S6,336,36.69592,-120.79673,1.73,1.52,1.17
2018,mario,Panoche,plateau,ephedra,PS10S7,338,36.69606,-120.79667,2.29,2.24,1.39
