Shrub ID,year,observer,region,species,lat,lng,x (m),y (m),z (m)
HS1,2019,mario,Heart of Mojave,ephedra,34.6978,-115.68685,1.3,0.7,0.8
HS2,2019,mario,Heart of Mojave,ephedra,34.69781,-115.68387,1.1,0.9,0.9
HS3,2019,mario,Heart of Mojave,salt bush,34.69781,-115.68387,0.7,0.6,0.5
HS4,2019,mario,Heart of Mojave,ephedra,34.69781,-115.68388,1,0.6,0.75
HS5,2019,mario,Heart of Mojave,atriplex,34.69782,-115.68388,0.55,0.3,0.3
HS6,2019,mario,Heart of Mojave,atriplex,34.69781,-115.68391,0.6,0.6,4
HS7,2019,mario,Heart of Mojave,larrea,34.69728,-115.68394,2.1,1.9,1.9
HS8,2019,mario,Heart of Mojave,ephedra,34.69777,-115.68392,1,0.8,0.7
HS9,2019,mario,Heart of Mojave,atriplex,34.69776,-115.68394,0.5,0.4,0.3
HS10,2019,mario,Heart of Mojave,atriplex,34.69776,-115.68392,0.4,0.4,0.2
HS11,2019,mario,Heart of Mojave,atriplex,34.69774,-115.68394,0.9,0.8,0.65
HS12,2019,mario,Heart of Mojave,atriplex,34.69772,-115.68395,0.6,0.6,0.5
HS13,2019,mario,Heart of Mojave,atriplex,34.69773,-115.68392,0.5,0.4,0.5
HS14,2019,mario,Heart of Mojave,atriplex,34.69772,-115.68394,0.4,0.3,0.25
HS15,2019,mario,Heart of Mojave,ephedra,34.69772,-115.68393,1,0.7,0.7
HS16,2019,mario,Heart of Mojave,larrea,34.69771,-115.68391,0.6,0.4,0.8
HS17,2019,mario,Heart of Mojave,atriplex,34.69772,-115.68391,0.3,0.25,0.3
HS18,2019,mario,Heart of Mojave,atriplex,34.69772,-115.68391,0.5,0.5,0.45
HS19,2019,mario,Heart of Mojave,atriplex,34.69773,-115.68388,0.3,0.3,0.4
HS20,2019,mario,Heart of Mojave,atriplex,34.69773,-115.68388,0.6,0.5,0.5
HS21,2019,mario,Heart of Mojave,ephedra,34.69775,-115.68388,1.3,1.1,1.2
HS22,2019,mario,Heart of Mojave,atriplex,34.69777,-115.68387,0.5,0.45,0.4
HS23,2019,mario,Heart of Mojave,atriplex,34.69775,-115.68383,0.4,0.4,0.4
HS24,2019,mario,Heart of Mojave,atriplex,34.69774,-115.68382,0.5,0.4,0.6
HS25,2019,mario,Heart of Mojave,ephedra,34.69773,-115.68382,1,0.95,0.9
SS1,2019,mario,Sheep Hole,ephedra,34.20622,-115.71937,1.3,0.8,0.65
SS2,2019,mario,Sheep Hole,larrea,34.20627,-115.71941,2.1,1.73,1.6
SS3,2019,mario,Sheep Hole,ephedra,34.2063,-115.71935,1.4,1.2,1
SS4,2019,mario,Sheep Hole,ephedra,34.20626,-115.71925,2.04,1.55,1.1
SS5,2019,mario,Sheep Hole,ephedra,34.20621,-115.71927,0.4,0.3,0.4
SS6,2019,mario,Sheep Hole,ephedra,34.20615,-115.71935,1.1,0.9,0.95
SS7,2019,mario,Sheep Hole,larrea,34.20618,-115.71935,2.6,1.9,1.8
SS8,2019,mario,Sheep Hole,larrea,34.206106,-115.71942,1.5,1.3,1.3
SS9,2019,mario,Sheep Hole,larrea,34.20619,-115.71941,2.2,2.2,1.1
