,Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails,lat,lng
1,1,5.1,3.5,1.6,14.95,2,7,1,0,697268,4062667,0.582728,1.035004,0.002228,NA,NA,NA,36.68920116,-120.792022
2,2,2.6,2.8,1.1,4.19,2,10,0,0,697272.9,4062667,1.087433,0.77067,0.00228,NA,NA,NA,36.68920014,-120.7919672
3,3,2.8,1.6,1.4,3.28,2,8,0,0,697277.7,4062676,1.551373,1.020898,0.002723,NA,NA,NA,36.68928022,-120.7919111
4,4,3.4,2.9,1.5,7.74,2,6,0,0,697282.6,4062685,2.562837,0.965564,0.002855,NA,NA,NA,36.68936028,-120.791854
5,5,2.9,3.6,1.5,8.2,2,4,0,0,697277.6,4062696,6.442046,1.278202,0.003084,NA,NA,NA,36.6894604,-120.7919071
6,6,2.7,2.6,0.8,2.94,2,5,0,0,697277.4,4062707,8.62802,1.68733,0.002633,NA,NA,NA,36.68955954,-120.7919065
7,7,2.3,1.7,1,2.05,2,6,0,0,697283.8,4062713,9.759581,1.32123,0.002538,NA,NA,NA,36.68961226,-120.7918334
8,8,2.5,2.6,1.6,5.45,2,3,0,0,697286.3,4062702,7.915065,0.997402,0.002855,NA,NA,NA,36.68951265,-120.7918083
9,9,2.9,2.3,1.1,3.84,2,6,0,0,697285.1,4062697,5.02772,0.992734,0.00247,NA,NA,NA,36.68946786,-120.791823
10,10,3.1,3.6,1.8,10.52,2,7,0,0,697271.1,4062726,6.834246,2.036531,0.002015,18.19333,3,0,36.689732,-120.7919721
11,11,2.5,2.8,1,3.67,2,2,0,0,697290.1,4062731,4.187088,1.928269,0.001639,NA,NA,NA,36.6897731,-120.7917583
12,12,1.5,1.3,0.8,0.82,2,8,0,0,697267.3,4062755,5.409974,2.298109,0.001698,NA,NA,NA,36.68999402,-120.7920071
13,13,2.2,2.2,1.3,3.29,2,8,0,0,697269.4,4062761,6.942149,2.089687,0.002105,15.76667,4,4,36.69004764,-120.7919821
14,14,2,2.3,1.3,3.13,2,9,0,0,697256.9,4062761,6.150329,1.580214,0.003119,NA,NA,NA,36.69005023,-120.7921219
15,15,5.2,4.1,1.8,20.09,2,3,0,0,697242.4,4062761,2.945754,1.721379,0.003434,NA,NA,NA,36.69005324,-120.7922841
16,16,3.1,3.5,1.5,8.52,2,3,0,0,697231.8,4062776,5.59988,1.425695,0.003741,NA,NA,NA,36.69019056,-120.7923988
17,17,4.78,6.2,2.15,33.36,2,4.5,0,0,697231.5,4062771,6.290275,1.413708,0.003314,NA,NA,NA,36.69014558,-120.7924034
18,18,4,3.5,1.8,13.19,2,5,0,0,697232.4,4062765,2.876214,1.829806,0.002817,NA,NA,NA,36.69009135,-120.7923949
19,19,5,4.7,1.8,22.15,2,6,0,0,697232.6,4062724,2.367727,1.932037,0.000952,NA,NA,NA,36.68972197,-120.7924032
20,20,5.5,6.4,2,36.86,2,4,0,0,697229.1,4062706,1.968563,1.596902,0.000952,NA,NA,NA,36.68956055,-120.792447
21,21,2.1,1.7,1.8,3.36,2,5,0,0,697229.1,4062706,1.968563,1.596902,0.000952,NA,NA,NA,36.68956055,-120.792447
22,22,3.3,3.1,1.5,8.03,2,9,0,0,697256.5,4062657,0.057823,0.654189,0.001586,NA,NA,NA,36.68911346,-120.7921532
23,23,4.3,3.6,1.4,11.35,2,8,0,0,697262.8,4062642,1.02173,0.160402,0.001586,NA,NA,NA,36.68897703,-120.7920866
24,24,4.7,3.1,1.5,11.44,2,5,0,0,697273.7,4062622,1.086491,0.33402,0.000634,NA,NA,NA,36.68879461,-120.7919698
25,25,4.3,3.8,1.5,12.83,2,8,0,0,697274.5,4062790,3.847068,2.833236,0.003074,NA,NA,NA,36.69030782,-120.7919176
26,26,2.7,2.7,1,3.82,2,8,0,0,697294.4,4062774,12.52004,1.441747,0.001347,NA,NA,NA,36.69015956,-120.7916991
27,27,4.1,3.7,1.2,9.53,2,7,0,0,697288,4062793,6.825845,2.879024,0.001644,15.35,7,3,36.69033204,-120.7917658
28,28,3.6,3.6,1.2,8.14,2,8,0,0,697279.9,4062802,2.930839,3.164548,0.002358,NA,NA,NA,36.69041479,-120.7918541
29,29,2.6,2.4,1.2,3.92,2,0,0,0,697295.8,4062813,3.71781,2.434757,0.002397,NA,NA,NA,36.69051058,-120.7916734
30,30,4.7,3.9,1.5,14.4,2,7,0,0,697304.8,4062827,4.678004,3.105525,0.001509,NA,NA,NA,36.69063483,-120.7915691
31,31,5.3,4.3,1.8,21.48,2,7,0,0,697307.9,4062838,10.89519,3.462648,0.002467,NA,NA,NA,36.69073328,-120.7915316
32,32,2.9,2.9,1.1,4.84,2,10,0,0,697309.7,4062845,5.155794,3.725801,0.002469,NA,NA,NA,36.69079596,-120.7915097
33,33,2.3,2.3,1.2,3.32,2,9,0,0,697267.5,4062819,7.427756,2.468369,0.003727,NA,NA,NA,36.69057051,-120.7919884
34,34,2.2,2.4,1,2.76,2,7,0,0,697266,4062833,9.571037,2.002275,0.004001,NA,NA,NA,36.69069693,-120.7920016
35,35,1.5,1.7,1,1.34,2,10,0,0,697262.8,4062835,10.96362,2.300938,0.003916,NA,NA,NA,36.69071561,-120.7920368
36,36,1,0.6,0.7,0.22,2,10,0,0,697264.1,4062831,9.775493,2.197652,0.00384,NA,NA,NA,36.69067931,-120.7920233
37,37,4.1,3.5,1.7,12.77,2,8,0,0,697268.7,4062837,11.54685,2.353012,0.004024,NA,NA,NA,36.69073241,-120.7919703
38,38,3.2,2.6,1.2,5.23,2,8,0,0,697275,4062836,11.28787,2.388952,0.003954,NA,NA,NA,36.69072209,-120.7919001
39,39,1.7,2.1,1.1,2.06,2,7,0,0,697280.1,4062847,12.60861,3.032648,0.005116,NA,NA,NA,36.69082012,-120.7918402
40,40,2,2,0.7,1.47,2,9,0,0,697260.4,4062847,15.45697,2.992639,0.004441,NA,NA,NA,36.69082421,-120.7920606
41,41,5.7,6.6,3.6,70.91,2,10,0,0,697238.1,4062839,13.43883,2.506488,0.002905,NA,NA,NA,36.69075677,-120.7923121
42,42,2.9,2.7,1.3,5.33,2,2,0,0,697240.5,4062840,15.29261,2.628044,0.002854,NA,NA,NA,36.69076528,-120.792285
43,43,4.2,4.3,1.5,14.18,2,5,0,0,697224.9,4062819,7.375298,0.921905,0.002222,NA,NA,NA,36.69057935,-120.7924649
44,44,4.4,3.4,2,15.67,2,4,0,0,697225.6,4062809,6.674341,0.559674,0.002533,5.4,2,3,36.69048912,-120.7924596
45,45,2.2,2.1,1.5,3.63,2,6,0,0,697222.3,4062805,5.762494,0.605807,0.002778,NA,NA,NA,36.69045377,-120.7924976
46,46,3.2,3.3,1.9,10.51,2,6,0,0,697221.1,4062801,5.901784,0.740229,0.003096,NA,NA,NA,36.69041799,-120.792512
47,47,3.7,2.8,1.3,7.05,2,8,0,0,697249.5,4062805,5.302103,1.843935,0.004178,NA,NA,NA,36.69044813,-120.7921933
48,48,4,4.4,1.1,10.14,2,6,0,0,697251.7,4062790,5.170566,2.04847,0.003874,8.19,0,2,36.69031255,-120.7921726
49,49,3,2.6,0.9,3.68,2,7,0,0,697248.1,4062781,5.038375,2.058034,0.004048,7.85,1,2,36.69023222,-120.7922152
50,50,4.5,3.6,1.8,15.27,2,5,0,0,697244.3,4062786,5.605895,1.926244,0.00441,5.07,2,3,36.69027805,-120.7922564
51,51,3.5,3.6,1.6,10.56,2,5,0,0,697238.1,4062788,7.529346,1.778472,0.003914,10.03,2,5,36.69029735,-120.7923252
52,52,5.9,6.6,2.1,42.82,2,7,0,0,697205.2,4062781,2.609853,1.498072,0.001785,16.79,4,8,36.69024112,-120.792695
53,53,4.1,4,0.9,7.73,2,4,0,0,697279.5,4062852,12.70314,3.408957,0.004771,NA,NA,NA,36.69086529,-120.7918457
54,54,2,2.8,0.8,2.35,2,7,0,0,697286.8,4062858,12.17282,3.690042,0.004428,NA,NA,NA,36.69091782,-120.7917625
