count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
1,0.493119,0.364,0.296583,-9999
2,0.486288,0.45,0.486729,0.368957
3,0.478983,0.4436,0.374441,0.353452
4,0.474486,0.6196,0.253153,0.207305
5,0.462972,0.3712,0.0285781,0.236035
6,0.462689,0.1324,0.0265529,0.238015
7,0.460055,0.3156,0.0929352,0.192543
8,0.457987,0.3564,0.13974,0.103688
9,0.45323,0.3464,0.126014,0.0857228
10,0.452394,0.512,0.154367,0.0710697
11,0.443714,0.5012,0.0571563,0.101924
12,0.438901,0.324,0.0243027,0.133391
13,0.437491,0.2876,0.0672824,0.12553
14,0.43714,0.0784,0.18047,0.0906912
15,0.419063,0.0716,0.0945104,0.0987919
16,0.413476,0.0216,0.181145,0.159961
17,0.409901,0.0828,0.171244,0.183327
18,0.403856,0.2288,0.141541,0.111789
19,0.402946,0.2256,0.0756083,0.087343
20,0.399199,0.1024,0.0783086,0.140735
21,0.394665,0.0716,0.142441,0.139079
22,0.39176,0.0296,0.166968,0.109401
23,0.383525,0.0248,0.100811,0.121366
24,0.382734,0.0568,0.0870846,0.09962
25,0.375312,0.0664,0.189471,0.136451
26,0.371687,0.0816,0.27228,0.221994
27,0.368244,0.1108,0.377592,0.246152
28,0.367625,0.1756,0.138165,0.149844
29,0.363592,0.1364,0.0447799,0.0784143
30,0.357962,0.0744,0.198697,0.138683
31,0.350944,0.1508,0.193071,0.144516
32,0.349449,0.2372,0.158192,0.117873
33,0.342936,0.0476,0.167193,0.125482
34,0.338587,0.0212,0.101936,0.107973
35,0.336567,0.0376,0.101261,0.118449
36,0.333141,0.0696,0.312334,0.131374
37,0.316638,0.1244,0.301308,0.163597
38,0.314004,0.176,0.247752,0.212849
39,0.311834,0.08,0.0789837,0.195964
40,0.307898,0.0896,0.0443299,0.114489
41,0.306269,0.1372,0.108237,0.0633651
42,0.301295,0.3024,0.157067,0.105164
43,0.300719,0.0976,0.0801088,0.121006
44,0.297606,0.1612,0.166518,0.117045
45,0.296892,0.056,0.126239,0.172094
46,0.295957,0.1208,0.158642,0.264837
47,0.292103,0.0928,0.186095,0.114237
48,0.2906,0.1508,0.112737,0.170186
49,0.290564,0.1504,0.216024,0.191103
50,0.288043,0.1428,0.139515,0.181382
51,0.285986,0.0884,0.213774,0.140267
52,0.285861,0.0544,0.0920351,0.108837
53,0.28366,0.0808,0.0677325,0.1016
54,0.283434,0.0948,0.0528808,0.0934635
55,0.282043,0.1068,0.0445549,0.10124
56,0.281636,0.072,0.143116,0.117477
57,0.281357,0.2684,0.0864095,0.112941
58,0.279673,0.3336,0.14064,0.143471
59,0.276977,0.0948,0.203197,0.23139
60,0.274964,0.0412,0.354639,0.285395
61,0.274673,0.0416,0.131414,0.240115
62,0.274182,0.1952,0.2311,0.114309
63,0.271308,0.2384,0.160668,0.139547
64,0.270349,0.1712,0.266654,0.18095
65,0.266445,0.1608,0.130964,0.180626
66,0.264462,0.166,0.054456,0.146892
67,0.264332,0.0164,0.0553561,0.112833
68,0.263333,0.1548,0.0882097,0.0826626
69,0.258531,0.0764,0.118138,0.0761821
70,0.258442,0.0408,0.172144,0.108801
71,0.255054,0.23,0.0679575,0.138143
72,0.253515,0.4392,0.144466,0.136055
73,0.253433,0.2856,0.0897849,0.166117
74,0.253344,0.4136,0.107112,0.266673
75,0.252475,0.2536,0.217149,0.347104
76,0.251501,0.0248,0.252253,0.275134
77,0.251109,0.0708,0.196672,0.15294
78,0.249342,0.1724,0.135465,-9999
79,0.249012,0.1964,0.160668,0.107073
80,0.248067,0.134,0.168094,0.12187
81,0.247479,0.0968,0.259229,0.157117
82,0.24668,0.1664,0.202297,0.172994
83,0.24581,0.0828,0.107112,0.146136
84,0.245363,0.0796,0.101036,0.12025
85,0.24518,0.1608,0.0810089,0.109773
86,0.244815,0.1236,0.0697577,0.100736
87,0.244669,0.082,0.0753833,0.0851108
88,0.244301,0.1144,0.099911,0.122086
89,0.244148,0.3252,0.191271,0.138431
90,0.243224,0.2536,0.144916,0.121762
91,0.243028,0.2584,0.118813,0.178862
92,0.242131,0.1624,0.164493,0.288203
93,0.24208,0.1012,0.236501,0.322442
94,0.241516,0.0484,0.500005,0.22311
95,0.24144,0.044,0.387493,0.155928
96,0.240282,0.0692,0.166068,0.229266
97,0.240222,0.1664,0.142441,0.105812
98,0.239335,0.1096,0.187896,0.124534
99,0.238815,0.084,0.153917,0.120826
100,0.237273,0.1632,0.0803338,0.138179
101,0.236952,0.132,0.144916,0.17357
102,0.235912,0.1416,0.104637,0.168061
103,0.235275,0.1172,0.122188,0.135155
104,0.234556,0.126,0.128039,0.129178
105,0.234535,0.2404,0.0949605,0.118017
106,0.233515,0.0712,0.0630069,0.12205
107,0.233324,0.1232,0.107112,0.106172
108,0.232768,0.2312,0.207023,0.14412
109,0.231499,0.1128,0.0576063,0.197008
110,0.231144,0.1956,0.152792,0.179834
111,0.231087,0.2428,0.277906,0.128098
112,0.230853,0.0908,0.590015,0.128494
113,0.230646,0.068,0.401444,0.154488
114,0.230381,0.032,0.222324,0.139223
115,0.229521,0.0496,0.162018,0.188187
116,0.229,0.0528,0.148741,0.27931
117,0.228633,0.1516,0.0670574,0.284663
118,0.227596,0.0768,0.133665,0.0900432
119,0.227472,0.08,0.194646,0.111249
120,0.227338,0.1752,0.241227,0.138791
121,0.226545,0.1676,0.176419,0.133283
122,0.225103,0.2028,0.161568,0.158953
123,0.224267,0.0728,0.109812,0.158629
124,0.223983,0.2676,0.114088,0.125866
125,0.223905,0.1364,0.0963106,0.10088
126,0.223299,0.1484,0.111837,0.103472
127,0.222535,0.272,0.0830341,0.125398
128,0.222105,0.1784,0.114088,0.135263
129,0.222068,0.0712,0.250003,0.111285
130,0.222029,0.0512,0.112512,0.167773
131,0.221617,0.052,0.140415,0.232939
132,0.221526,0.1016,0.0868596,0.184011
133,0.220742,0.114,0.195096,0.0845347
134,0.22025,0.1744,0.129164,0.0707456
135,0.22011,0.0588,0.144691,0.165505
136,0.219856,0.0256,0.147616,0.235279
137,0.219499,0.198,0.219399,0.316789
138,0.219478,0.0404,0.397844,0.390559
139,0.219193,0.1244,0.176194,0.334575
140,0.21851,0.0832,0.109587,0.282839
141,0.217986,0.1676,0.141091,0.144408
142,0.217282,0.1904,0.128714,0.100124
143,0.21711,0.2172,0.238301,0.111825
144,0.216879,0.1684,0.142666,0.145488
145,0.216756,0.296,0.111837,0.14646
146,0.216419,0.1868,0.0868596,0.166405
147,0.216173,0.256,0.167868,0.139907
148,0.214759,0.2632,0.0783086,0.109485
149,0.214582,0.1448,0.164268,0.0955156
150,0.214501,0.1356,0.164268,0.110385
151,0.214324,0.0736,0.081459,0.151788
152,0.214168,0.0588,0.153242,0.12655
153,0.214099,0.0492,0.2257,0.110781
154,0.213559,0.0888,0.261929,0.170042
155,0.212927,0.0884,0.17867,0.178646
156,0.21249,0.072,0.0243027,0.161977
157,0.21245,0.2844,0.0767334,0.163957
158,0.211711,0.18,0.0578314,0.192759
159,0.211361,0.1308,0.157292,0.248852
160,0.210896,0.1352,0.128264,0.289679
161,0.210797,0.0944,0.241902,0.353692
162,0.210731,0.134,0.218049,0.391639
163,0.210077,0.2732,0.09091,0.317509
164,0.209931,0.3468,0.17867,0.233119
165,0.209881,0.4452,0.127364,0.176126
166,0.209765,0.136,0.164718,0.15312
167,0.209565,0.1388,0.119938,0.139403
168,0.2094,0.176,0.171244,0.0792063
169,0.208802,0.1568,0.121288,0.0943275
170,0.208653,0.2672,0.13299,0.14844
171,0.207661,0.1788,0.0828091,0.156468
172,0.207508,0.1044,0.108462,0.14934
173,0.206738,0.1116,0.100361,0.120682
174,0.206299,0.098,0.163368,0.0963077
175,0.205924,0.0844,0.09046,0.111141
176,0.20558,0.0668,0.0702077,0.12403
177,0.205458,0.1064,0.282856,0.121006
178,0.204562,0.0692,0.400319,0.120538
179,0.204454,0.0788,0.187896,0.147828
180,0.203704,0.1112,0.117913,0.1506
181,0.202965,0.1988,0.0247527,0.135623
182,0.20296,0.0876,0.0654822,0.197836
183,0.202851,0.062,0.111612,0.239815
184,0.202782,0.1488,0.219174,0.20194
185,0.202565,0.1888,0.422372,0.163309
186,0.202518,0.2672,0.462876,0.158341
187,0.202342,0.4964,0.431372,0.1942
188,0.202321,0.5704,0.463776,0.198628
189,0.202257,0.2548,0.0852844,0.165073
190,0.201983,0.1824,0.0445549,0.144083
191,0.201668,0.1012,0.201172,0.119674
192,0.201562,0.0864,0.102611,0.10028
193,0.200725,0.1416,0.176644,0.134831
194,0.200246,0.13,0.205223,0.126658
195,0.199965,0.186,0.0972107,0.0840307
196,0.199927,0.1664,0.169894,0.0595488
197,0.199693,0.056,0.0823591,0.0810785
198,0.199633,0.054,0.0834842,0.136991
199,0.199178,0.1544,0.0285781,0.158449
200,0.199133,0.0736,0.166743,0.129718
201,0.198621,0.1372,0.238751,0.0973518
202,0.198598,0.11,0.0677325,0.0915913
203,0.198092,0.1496,0.113863,0.116397
204,0.19782,0.062,0.161343,0.123382
205,0.197795,0.0564,0.112512,0.141023
206,0.197621,0.108,0.0796588,0.206368
207,0.197539,0.164,0.14064,0.258393
208,0.197373,0.2108,0.176644,0.231462
209,0.197243,0.0432,0.251803,0.206152
210,0.196889,0.1696,0.335737,0.196936
211,0.19673,0.1272,0.570663,0.150528
212,0.196375,0.4672,0.373316,0.106028
213,0.196328,0.54,0.633895,0.1061
214,0.195844,0.486,0.50023,0.135227
215,0.195528,0.3876,0.362065,0.145128
216,0.195184,0.1888,0.209948,0.123346
217,0.194643,0.146,0.240326,0.108225
218,0.194623,0.2036,0.0380292,0.127918
219,0.194619,0.1128,0.0834842,0.134471
220,0.194102,0.1084,0.183845,0.137747
221,0.193695,0.1164,0.162243,0.15486
222,0.19348,0.0956,0.207248,0.184191
223,0.193177,0.1276,0.162243,0.145344
224,0.192958,0.1492,0.111162,0.0950116
225,0.192719,0.1268,0.103961,0.0553724
226,0.192554,0.1988,0.0832592,0.0690175
227,0.192343,0.2492,0.128939,0.103832
228,0.19205,0.1784,0.238976,0.143435
229,0.191884,0.2204,0.145591,0.166621
230,0.191502,0.1076,0.0801088,0.156072
231,0.191286,0.1312,0.0672824,0.108477
232,0.191146,0.0784,0.176644,0.111033
233,0.190934,0.0652,0.118363,0.124606
234,0.190915,0.1712,0.114988,0.148872
235,0.190753,0.0652,0.296133,0.196468
236,0.190512,0.0828,0.407745,0.204532
237,0.190393,0.0636,0.31526,0.214685
238,0.190348,0.1136,0.287357,0.20662
239,0.190339,0.2324,0.054681,0.19762
240,0.190217,0.082,0.0783086,0.161581
241,0.190087,0.142,0.0873096,0.111249
242,0.18985,0.052,0.0864095,0.113337
243,0.189685,0.1844,0.108912,0.12547
244,0.188534,0.462,0.135915,0.138071
245,0.188503,0.2472,0.224575,0.128314
246,0.188403,0.1112,0.0886598,0.0987919
247,0.188208,0.11,0.110937,0.0819065
248,0.187577,0.1404,0.183845,0.127954
249,0.187566,0.1172,0.159093,0.188331
250,0.187298,0.1672,0.0398294,0.196432
251,0.186792,0.3248,0.0490554,0.170186
252,0.186792,0.1088,0.0562562,-9999
253,0.186755,0.1572,0.106212,0.247196
254,0.186715,0.1416,0.190821,0.24626
255,0.186513,0.1068,0.117463,0.22257
256,0.186458,0.1264,0.102386,0.1524
257,0.186223,0.132,0.128714,0.0861189
258,0.18617,0.1676,0.0654822,0.0717177
259,0.18612,0.298,0.0895599,0.0964877
260,0.185863,0.1708,0.157517,0.136883
261,0.185822,0.1248,0.0704328,0.158341
262,0.185639,0.1388,0.0591815,0.165469
263,0.185603,0.1156,0.0864095,0.159349
264,0.185471,0.1364,0.231776,0.118881
265,0.185419,0.1244,0.253828,0.117189
266,0.185235,0.0824,0.121963,0.146388
267,0.185169,0.156,0.163143,0.148728
268,0.18515,0.1216,0.099911,0.132635
269,0.184965,0.0804,0.153017,0.112689
270,0.184914,0.136,0.13209,0.0963077
271,0.184779,0.2872,0.0951855,0.105632
272,0.184548,0.1,0.036454,0.118233
273,0.184385,0.098,0.063232,0.117693
274,0.184204,0.1912,0.101936,0.135047
275,0.184186,0.036,0.157517,0.122914
276,0.183903,0.0532,0.116113,0.0853268
277,0.183822,0.048,0.099686,0.0708897
278,0.183383,0.0696,0.130739,0.0658853
279,0.183112,0.2196,0.156842,0.07557
280,0.182705,0.1088,0.13839,0.0946516
281,0.182701,0.1412,0.0794337,0.147324
282,0.182582,0.2432,0.160218,0.172562
283,0.182444,0.4304,0.13479,0.130726
284,0.182384,0.4608,0.0535559,0.100988
285,0.181945,0.0744,0.0319535,0.0775742
286,0.181688,0.1228,0.072683,0.312001
287,0.181661,0.1832,0.104862,0.294936
288,0.181276,0.1172,0.107787,0.292019
289,0.180935,0.086,0.190371,0.234163
290,0.180758,0.1448,0.135015,0.157837
291,0.180692,0.1192,0.137265,0.100304
292,0.180631,0.2108,0.0974357,0.0952636
293,0.180266,0.1792,0.0560312,0.151716
294,0.180081,0.152,0.121513,0.159601
295,0.179839,0.0992,0.123989,0.12205
296,0.179636,0.0612,0.103511,0.114741
297,0.179129,0.1316,0.248427,0.0981438
298,0.179067,0.1836,0.326961,0.0851468
299,0.178968,0.0844,0.363415,0.100988
300,0.178953,0.0896,0.391318,0.147252
301,0.178859,0.2324,0.318185,0.123094
302,0.178576,0.1296,0.378717,0.075498
303,0.178397,0.072,0.27543,0.103868
304,0.177832,0.144,0.0902349,0.108441
305,0.177773,0.1276,0.072233,0.128242
306,0.17777,0.338,0.128489,0.123382
307,0.177735,0.31,0.121288,0.0952996
308,0.177613,0.3412,0.247752,0.137387
309,0.177589,0.0416,0.246852,0.124894
310,0.177538,0.0228,0.201622,0.0782702
311,0.177103,0.0952,0.105762,0.0701696
312,0.17701,0.0424,0.0927102,0.0671454
313,0.176615,0.136,0.0985609,0.110709
314,0.176426,0.1188,0.160443,0.163021
315,0.175701,0.1068,0.127814,0.143111
316,0.175533,0.1924,0.218049,0.0897912
317,0.175514,0.1884,0.175969,0.0801424
318,0.175495,0.1236,0.143116,0.10466
319,0.175427,0.176,0.107337,0.087631
320,0.175322,0.0728,0.0510806,0.0579406
321,0.175103,0.0812,0.0436548,0.215441
322,0.174989,0.0992,0.0787587,0.294071
323,0.174754,0.1748,0.0645821,0.248564
324,0.174463,0.1208,0.18317,0.220086
325,0.17431,0.1228,0.101711,0.208457
326,0.174307,0.1692,0.148516,0.193227
327,0.174195,0.1036,0.174844,0.132815
328,0.174177,0.2276,0.130514,0.127954
329,0.174142,0.0936,0.0621068,0.180914
330,0.173957,0.1364,0.198922,0.152364
331,0.173956,0.14,0.0947354,0.0945075
332,0.173735,0.0816,0.220524,0.0895031
333,0.173732,0.1076,0.140415,0.0718977
334,0.173655,0.1108,0.170794,0.0606648
335,0.173484,0.1028,0.0969857,0.0941475
336,0.173332,0.1752,0.101261,0.144552
