count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
1,0.039138,0.004,0.00045,0
2,0.021928,0.0028,0.0067501,0.0093608
3,0.014746,0.0004,0.0101252,0.0047524
4,0.025014,0.0068,0.0074252,0.012673
5,0.043296,0.0116,0.0099002,0.0044644
6,0.029738,0.0088,0,0
7,0.023305,0.014,0.0049501,0.0322586
8,0.019565,0.0196,0.0276756,0.0282263
9,0.011476,0.006,0.0285756,0.0286583
10,0.02801,0,0.0245255,0.0302424
11,0.026108,0.0004,0.0238505,0.0408993
12,0.035312,0.0296,0.0139503,0.012241
13,0.024768,0.0284,0.0200254,0.0018721
14,0.015371,0.0304,0.0060751,0
15,0.00829,0.0324,0.00135,0.0109449
16,0.009964,0.0236,0.0123753,0.0642291
17,0.004264,0.0208,0.0409509,0.0545804
18,0.02624,0.008,0.0389258,0.0518441
19,0.017546,0.026,0.0400508,0.0668213
20,0.021709,0.006,0.045901,0.0580366
21,0.01721,0,0.0537761,0.0400352
22,0.010053,0.004,0.0591763,0.0269301
23,0.00392,0.0344,0.0256505,0.0168493
24,0.002402,0.048,0.0067501,0.0478118
25,0.001949,0.024,0.0065251,0.0109449
26,0.009134,0.0264,0.0139503,0.0023042
27,0.024904,0.0384,0.0065251,0.0116649
28,0.042429,0.0568,0.0283506,0.0648052
29,0.067833,0.0836,0.0807767,0.0391711
30,0.035497,0.06,0.0513011,0.0563085
31,0.013902,0.0184,0.0677264,0.0597648
32,0.016134,0.0156,0.0571512,0.0391711
33,0.01493,0.0028,0.105752,0.0400352
34,0.006792,0.0052,0.0724515,0.0650932
35,0.003722,0.0004,0.0560262,0.0311065
36,0.002101,0,0.049051,0.0581806
37,0.013546,0.026,0.0308257,0.037155
38,0.021436,0.0496,0.0182254,0.0188655
39,0.068596,0.0892,0.0834768,0.0168493
40,0.096171,0.0292,0.0366758,0.0024482
41,0.048685,0.0512,0.0150753,0.000144
42,0.053433,0.0556,0.000225,0
43,0.027719,0.0384,0.00135,0
44,0.010538,0.0564,0.000225,0.0011521
45,0.010789,0.0616,0.0249755,0.0197296
46,0.009675,0.0584,0.047026,0.0279382
47,0.004728,0.0224,0.0378008,0.0426274
48,0.006809,0.018,0.045001,0.049972
49,0.016255,0.0096,0.0510761,0.0358589
50,0.012819,0.0276,0.044776,0.037587
51,0.005989,0.038,0.0270006,0.0609169
52,0.045654,0.04,0.0357758,0.0407553
53,0.047684,0.0084,0.0666014,0.0560205
54,0.040757,0.0008,0.0434259,0.024626
55,0.022419,0.036,0.0546762,0.0290903
56,0.038078,0.074,0.0549012,0.0106569
57,0.033713,0.0756,0.0281256,0.0057605
58,0.028243,0.0524,0.0220505,0.0059045
59,0.017124,0.0652,0.0204754,0.0087847
60,0.004986,0.0624,0.0175504,0.0108009
61,0.010622,0.0624,0.0024751,0.012097
62,0.020392,0.1144,0.000225,0.0056165
63,0.02992,0.052,0,0.000576
64,0.018438,0.0532,0.000675,0.0008641
65,0.005262,0.056,0.001125,0.0108009
66,0.000731,0.082,0.0238505,0.0145452
67,0.027619,0.0424,0.0236255,0.0580366
68,0.039426,0.012,0.047701,0.0537163
69,0.017328,0.0816,0.0531011,0.0527082
70,0.016714,0.0392,0.0535511,0.0436355
71,0.017037,0.0572,0.0324007,0.0738779
72,0.020195,0.0356,0.0398258,0.0637971
73,0.016288,0.008,0.0609763,0.0321146
74,0.017309,0.0012,0.0288006,0.0341307
75,0.017014,0.0088,0.0783017,0.0040323
76,0.040854,0,0.0355508,0.0027362
77,0.031697,0.0144,0.0301506,0.0076326
78,0.005944,0.0624,0.0344257,0.0231859
79,0.020053,0.0404,0.0164253,0.0329786
80,0.03566,0.0352,0.0081002,0.0169934
81,0.035125,0.0476,0.0065251,0.0217457
82,0.010706,0.048,0.0040501,0.0594767
83,0.00124,0.0632,0.0074252,0.0282263
84,0.015871,0.0428,0.0119253,0.0108009
85,0.039325,0.024,0.0087752,0.0020162
86,0.040323,0.034,0.0137253,0
87,0.01209,0.0464,0.000225,0.0060485
88,0.013246,0.0592,0.000225,0.0008641
89,0.022478,0.0444,0.000675,0.0018721
90,0.025773,0.0396,0.00225,0.0230418
91,0.024055,0.072,0.0317257,0.0313945
92,0.018971,0.0304,0.0398258,0.0470918
93,0.008705,0.0276,0.0598513,0.0720057
94,0.00258,0.0168,0.0353258,0.074742
95,0.019113,0.0268,0.0591763,0.0462277
96,0.014934,0.0244,0.0285756,0.0084967
97,0.00872,0.018,0.0704265,0.0047524
98,0.016344,0.0044,0.048601,0.0050404
99,0.015786,0,0.0594013,0.0092167
100,0.022968,0.0004,0.0414009,0.0093608
101,0.011929,0,0.0207004,0.0132491
102,0.016014,0.0016,0.0247505,0.0201616
103,0.03183,0.0012,0.0067501,0.0231859
104,0.031729,0.018,0.0049501,0.0205936
105,0.04827,0.042,0.0076502,0.0443555
106,0.030704,0.0516,0.0121503,0.0139691
107,0.018111,0.0524,0.0371258,0.0332667
108,0.03086,0.0364,0.0186754,0.0273622
109,0.03858,0.0496,0.0195754,0.0116649
110,0.042258,0.0532,0.0288006,0.0102248
111,0.029361,0.0264,0.0731266,0.0064805
112,0.032021,0.046,0.0202504,0.0017281
113,0.029036,0.038,0.0258755,0.0020162
114,0.036258,0.04,0,0.0020162
115,0.038094,0.0244,0.000675,0.0051844
116,0.01579,0.0488,0.0085502,0.0024482
117,0.002449,0.1092,0.0009,0.0093608
118,0.001119,0.0184,0.001575,0.0103688
119,0.003307,0.0332,0.0198004,0.0318265
120,0.005912,0.0304,0.049276,0.0705656
121,0.006453,0.026,0.0393758,0.0459397
122,0.012442,0.0176,0.0659264,0.0188655
123,0.025943,0.0064,0.0632263,0.0023042
124,0.044357,0.0032,0.0733516,0.0112329
125,0.02395,0,0.101252,0.0097928
126,0.007772,0.0064,0.0400508,0.0082087
127,0.018032,0.002,0.0150753,0.0192975
128,0.013865,0.0056,0.0166504,0.0138251
129,0.039615,0.0048,0.0027001,0.0180014
130,0.069634,0.0016,0.0040501,0.0243379
131,0.039375,0,0.0051751,0.0456516
132,0.048106,0.0008,0.0072001,0.025346
133,0.043479,0.0008,0.0191254,0.0309625
134,0.036095,0.0072,0.0384758,0.0361469
135,0.016207,0.02,0.0189004,0.024626
136,0.032404,0.038,0.0171004,0.0594767
137,0.059369,0.0552,0.0198004,0.0233299
138,0.063542,0.0488,0.0515261,0.0339867
139,0.031968,0.0476,0.0265506,0.0342747
140,0.008287,0.0344,0.0119253,0.0135371
141,0.007557,0.034,0.0216005,0.0051844
142,0.004979,0.0368,0.0150753,0
143,0.007383,0.102,0.0024751,0.000144
144,0.006898,0.0332,0.0074252,0.0034563
145,0.007746,0.0352,0,0.0060485
146,0.031709,0.0668,0.0045001,0.0044644
147,0.04456,0.0244,0.00045,0.0228978
148,0.027642,0.0076,0.000225,0.0217457
149,0.005876,0.0452,0.0029251,0.0352828
150,0.011148,0.0196,0.0031501,0.0348508
151,0.004349,0.012,0.0382508,0.0518441
152,0.023369,0.006,0.0290256,0.0234739
153,0.040044,0.0056,0.0256505,0.012097
154,0.052881,0.0104,0.0819017,0.0087847
155,0.036641,0.0036,0.0697515,0.0169934
156,0.064541,0.022,0.0528761,0.0171374
157,0.069647,0.0092,0.0281256,0.0326906
158,0.037556,0.0176,0.0047251,0.0257781
159,0.031839,0.0132,0.0072001,0.0096488
160,0.023984,0.028,0.0092252,0.0207377
161,0.050926,0.0424,0.0069752,0.0201616
162,0.07528,0.0048,0.0058501,0.0678294
163,0.064154,0,0.0166504,0.0306744
164,0.031167,0.0008,0.0119253,0.0407553
165,0.014714,0.0008,0.0137253,0.0325466
166,0.00565,0.0008,0.0173254,0.0316825
167,0.004465,0.034,0.0276756,0.0439235
168,0.00551,0.0056,0.0274506,0.0260661
169,0.0066,0.0416,0.0274506,0.0538603
170,0.005349,0.06,0.0195754,0.0437795
171,0.006933,0.0656,0.0315007,0.0313945
172,0.047818,0.0448,0.0240755,0.0177134
173,0.052302,0.0632,0.0371258,0.0018721
174,0.02498,0.0172,0.0391508,0.0044644
175,0.023613,0.0504,0.0094502,0.0024482
176,0.0152,0.0648,0.0218255,0
177,0.004233,0.0684,0.0186754,0
